French,English
chercher,search
seulement,only
aide,help
mois,month
car,because
aucun,no
laisse,leash
eux,them
bébé,baby
revoir,meet again
parle,speak
compris,understood
étaient,were
attention,Warning
affaire,case
donné,given
train,train
pouvoir,power
vieux,old
minutes,minutes
aimerais,would like to
mari,husband
eau,water
boulot,job
fin,end
plutôt,rather
bureau,office
perdu,lost
venu,came
donne,given
aura,will have
longtemps,long time
devant,in front of
pourrais,could
filles,girls
aujourd'hui,today
loin,far
compte,account
croire,believe
yeux,eyes
mis,placed
main,hand
pardon,sorry
jouer,to play
venez,come
droit,law
savais,knew
attendez,Wait
pendant,while
première,first
façon,way
arrêter,Stop
cause,cause
point,point
laisser,let
enfin,finally
partie,part
dirait,would say
enfant,child
demandé,request
tiens,here
chérie,sweetheart
belle,beautiful
type,type
chaque,each
devrait,should
matin,morning
police,police
aucune,any
terre,Earth
gros,large
corps,body
endroit,place
histoire,history
leurs,their
vont,will
chambre,bedroom
ville,city
mettre,to put
trouve,find
frère,brother
voici,here is
place,square
nouvelle,new
demande,request
tellement,so much
vers,towards
espère,hope
parti,left
arrivé,come
donner,give
sois,be
pensais,thought
genre,kind
heures,hours
premier,first
suite,after
écoute,listen
dont,whose
parlé,speak
côté,side
